id,platform,date,followers,posts_count,impressions,reach,engagement_count,engagement_rate,profile_visits,clicks,video_views,watch_time_minutes,new_followers,notes
214,Facebook,2025-11-06,660,1,6600,5280,66,6.5,132,33,1980,0,5,
212,Instagram,2025-11-06,360,1,3600,2880,36,5.5,72,18,1080,0,5,
213,TikTok,2025-11-06,510,1,5100,4080,51,6.0,102,25,1530,0,5,
215,Twitch,2025-11-06,810,1,8100,6480,81,7.0,162,40,2430,0,5,
211,YouTube,2025-11-06,210,1,2100,1680,21,5.0,42,10,630,0,5,
209,Facebook,2025-11-05,650,1,6500,5200,65,6.5,130,32,1950,0,5,
207,Instagram,2025-11-05,350,1,3500,2800,35,5.5,70,17,1050,0,5,
208,TikTok,2025-11-05,500,1,5000,4000,50,6.0,100,25,1500,0,5,
210,Twitch,2025-11-05,800,1,8000,6400,80,7.0,160,40,2400,0,5,
206,YouTube,2025-11-05,200,1,2000,1600,20,5.0,40,10,600,0,5,
204,Facebook,2025-11-04,640,1,6400,5120,64,6.5,128,32,1920,0,5,
202,Instagram,2025-11-04,340,1,3400,2720,34,5.5,68,17,1020,0,5,
203,TikTok,2025-11-04,490,1,4900,3920,49,6.0,98,24,1470,0,5,
205,Twitch,2025-11-04,790,1,7900,6320,79,7.0,158,39,2370,0,5,
201,YouTube,2025-11-04,190,1,1900,1520,19,5.0,38,9,570,0,5,
199,Facebook,2025-11-03,630,1,6300,5040,63,6.5,126,31,1890,0,5,
197,Instagram,2025-11-03,330,1,3300,2640,33,5.5,66,16,990,0,5,
198,TikTok,2025-11-03,480,1,4800,3840,48,6.0,96,24,1440,0,5,
200,Twitch,2025-11-03,780,1,7800,6240,78,7.0,156,39,2340,0,5,
196,YouTube,2025-11-03,180,1,1800,1440,18,5.0,36,9,540,0,5,
194,Facebook,2025-11-02,620,1,6200,4960,62,6.5,124,31,1860,0,5,
192,Instagram,2025-11-02,320,1,3200,2560,32,5.5,64,16,960,0,5,
193,TikTok,2025-11-02,470,1,4700,3760,47,6.0,94,23,1410,0,5,
195,Twitch,2025-11-02,770,1,7700,6160,77,7.0,154,38,2310,0,5,
191,YouTube,2025-11-02,170,1,1700,1360,17,5.0,34,8,510,0,5,
189,Facebook,2025-11-01,610,1,6100,4880,61,6.5,122,30,1830,0,5,
187,Instagram,2025-11-01,310,1,3100,2480,31,5.5,62,15,930,0,5,
188,TikTok,2025-11-01,460,1,4600,3680,46,6.0,92,23,1380,0,5,
190,Twitch,2025-11-01,760,1,7600,6080,76,7.0,152,38,2280,0,5,
186,YouTube,2025-11-01,160,1,1600,1280,16,5.0,32,8,480,0,5,
184,Facebook,2025-10-31,600,1,6000,4800,60,6.5,120,30,1800,0,5,
182,Instagram,2025-10-31,300,1,3000,2400,30,5.5,60,15,900,0,5,
183,TikTok,2025-10-31,450,1,4500,3600,45,6.0,90,22,1350,0,5,
185,Twitch,2025-10-31,750,1,7500,6000,75,7.0,150,37,2250,0,5,
181,YouTube,2025-10-31,150,1,1500,1200,15,5.0,30,7,450,0,5,
179,Facebook,2025-10-30,590,1,5900,4720,59,6.5,118,29,1770,0,5,
177,Instagram,2025-10-30,290,1,2900,2320,29,5.5,58,14,870,0,5,
178,TikTok,2025-10-30,440,1,4400,3520,44,6.0,88,22,1320,0,5,
180,Twitch,2025-10-30,740,1,7400,5920,74,7.0,148,37,2220,0,5,
176,YouTube,2025-10-30,140,1,1400,1120,14,5.0,28,7,420,0,5,
174,Facebook,2025-10-29,580,1,5800,4640,58,6.5,116,29,1740,0,5,
172,Instagram,2025-10-29,280,1,2800,2240,28,5.5,56,14,840,0,5,
173,TikTok,2025-10-29,430,1,4300,3440,43,6.0,86,21,1290,0,5,
175,Twitch,2025-10-29,730,1,7300,5840,73,7.0,146,36,2190,0,5,
171,YouTube,2025-10-29,130,1,1300,1040,13,5.0,26,6,390,0,5,
169,Facebook,2025-10-28,570,1,5700,4560,57,6.5,114,28,1710,0,5,
167,Instagram,2025-10-28,270,1,2700,2160,27,5.5,54,13,810,0,5,
168,TikTok,2025-10-28,420,1,4200,3360,42,6.0,84,21,1260,0,5,
170,Twitch,2025-10-28,720,1,7200,5760,72,7.0,144,36,2160,0,5,
166,YouTube,2025-10-28,120,1,1200,960,12,5.0,24,6,360,0,5,
164,Facebook,2025-10-27,560,1,5600,4480,56,6.5,112,28,1680,0,5,
162,Instagram,2025-10-27,260,1,2600,2080,26,5.5,52,13,780,0,5,
163,TikTok,2025-10-27,410,1,4100,3280,41,6.0,82,20,1230,0,5,
165,Twitch,2025-10-27,710,1,7100,5680,71,7.0,142,35,2130,0,5,
161,YouTube,2025-10-27,110,1,1100,880,11,5.0,22,5,330,0,5,
159,Facebook,2025-10-26,550,1,5500,4400,55,6.5,110,27,1650,0,5,
157,Instagram,2025-10-26,250,1,2500,2000,25,5.5,50,12,750,0,5,
158,TikTok,2025-10-26,400,1,4000,3200,40,6.0,80,20,1200,0,5,
160,Twitch,2025-10-26,700,1,7000,5600,70,7.0,140,35,2100,0,5,
156,YouTube,2025-10-26,100,1,1000,800,10,5.0,20,5,300,0,5,
